id;condition
1;visible
2;visible
3;visible
4;invisible
5;visible
6;visible
7;visible
8;invisible
9;visible
10;invisible
11;invisible
12;visible
13;visible
14;invisible
15;invisible
16;visible
17;visible
18;visible
19;visible
20;invisible
21;invisible
22;visible
23;invisible
24;invisible
25;visible
26;visible
27;visible
28;invisible
29;visible
30;invisible
31;invisible
32;invisible
33;visible
34;visible
35;visible
36;invisible
37;invisible
38;invisible
39;invisible
40;invisible
41;visible
42;invisible
43;visible
44;visible
45;invisible
46;invisible
47;invisible
48;invisible
49;invisible
50;invisible
51;visible
52;invisible
53;invisible
54;invisible
55;visible
56;invisible
57;visible
58;visible
59;visible
60;invisible
61;visible
62;invisible
63;visible
64;invisible
65;visible
66;invisible
67;visible
68;invisible
69;visible
70;visible
71;visible
72;invisible
73;visible
74;visible
75;visible
76;invisible
77;invisible
78;visible
79;visible
80;visible
81;invisible
82;visible
83;invisible
84;invisible
85;visible
86;visible
87;invisible
88;invisible
89;visible
90;invisible
91;visible
92;visible
93;invisible
94;invisible
95;invisible
96;visible
97;invisible
98;visible
99;invisible
100;invisible
